Title,Link,Views,Time
GfG 160 | Day - 1 | Second Largest Element | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com/watch?v=JoNs4m0QCig,405 views,4 hours ago
GfG 160 | 160 Days Daily DSA Problem Solving | GeeksforGeeks,https://www.youtube.com/watch?v=puDKP5_0Ol4,1.1K views,20 hours ago
"From Tier 3 College to Qualcomm as a Software Developer | Resume , Mistakes , Projects , Interview",https://www.youtube.com/watch?v=1TnVdzwbzJo,716 views,1 day ago
Why you will not get placed? | Save yourself Now,https://www.youtube.com/watch?v=b-6rmk233DU,1.7K views,4 days ago
Y.O.G.I. | Your Own GeeksforGeeks Intelligence | Access to 7+ Features with GeeksforGeeks Premium,https://www.youtube.com/watch?v=rfyhmQYEJKE,919 views,5 days ago
"GeeksforGeeks Offline Classes- Visit for Free Counselling | Now in Delhi/NCR, Bengaluru, Pune",https://www.youtube.com/watch?v=hDfjzq9m5vI,51K views,10 days ago
Get Placed and make the Biggest Comeback of your Life | The Ultimate Roadmap,https://www.youtube.com/watch?v=A7_iaBNOxSU,3.8K views,2 weeks ago
Get a Job as a Data Analyst before 2025 starts | *Free Resources Inside* | Complete Roadmap,https://www.youtube.com/watch?v=FyHidTTNXJ8,3K views,2 weeks ago
How I would learn to code (if i could start over) | 18 LPA+ Package,https://www.youtube.com/watch?v=Bq4TH-OhqY0,1.9K views,2 weeks ago
Go Ad Free with GeeksforGeeks Premium | 0 Ads in all GeeksforGeeks Content | 100% Distraction free,https://www.youtube.com/watch?v=DoXFPztXGyM,924 views,3 weeks ago
"35+ Courses only with GeeksforGeeks Premium | DSA, Languages, Front-end, App Development & more!",https://www.youtube.com/watch?v=UvNQUwuN9Ss,30K views,3 weeks ago
GeeksforGeeks Premium | Explore All Features | Choose your Plan starting from INR 749,https://www.youtube.com/watch?v=kBN7AZ0MRgI,6K views,3 weeks ago
From Tier 3 College to working as a Senior SDE with 400% HIKE | Dream Job Diaries Podcast EP-2,https://www.youtube.com/watch?v=lWrzQFqgTcY,1.3K views,3 weeks ago
Crack any companies Aptitude round with this Strategy | *Free Resources Inside*,https://www.youtube.com/watch?v=loPvFZXUcNw,2.6K views,3 weeks ago
Crack Off-Campus Placement before 2025 with this Strategy,https://www.youtube.com/watch?v=rQs1n2ERSvk,3.8K views,4 weeks ago
"GeeksforGeeks Premium | 35+ Courses, Ad-Free Learning, A.I. Bot, Text Summarisation & more",https://www.youtube.com/watch?v=P_ZxK9dTyeA,57K views,1 month ago
Master Competitive Programming with this RoadMap | *Free Resources Inside*,https://www.youtube.com/watch?v=lozDmn15zcw,4.2K views,1 month ago
These Projects give you an UNFAIR ADVANTAGE | Get Placed in 2024,https://www.youtube.com/watch?v=KY73lTNeWzI,5.8K views,1 month ago
"I went to the House of a Google Project Manager | Life at Google |Project Management Roadmap, Salary",https://www.youtube.com/watch?v=cC8MjoYGedk,180K views,1 month ago
Is the Tech Recession finally over? | Massive Tech Layoffs & Recession | How to get a job in 2024?,https://www.youtube.com/watch?v=wolOoIsBnew,4.5K views,1 month ago
Master Software Testing & Automation | Career in Testing | GeeksforGeeks,https://www.youtube.com/watch?v=b3uovZLWkVM,942 views,1 month ago
ðŸš€ Please Watch this Video if you are a College Student | Get Placed in 2024,https://www.youtube.com/watch?v=9Fx3wGat0Fg,2.5K views,1 month ago
Python Fundamentals and its Applications with GeeksforGeeks,https://www.youtube.com/watch?v=qzyTwGpDYog,2.9K views,1 month ago
(Not Clickbait) Learn Recursion in just 300 seconds ðŸ˜® | DSA Made Simple,https://www.youtube.com/watch?v=Bi_rfJLf-jA,1.5K views,1 month ago
From Tier 3 College to 20LPA Package ðŸ¤‘ at Harman as a Senior Software Engineer | My Journey,https://www.youtube.com/watch?v=cGPpUdaISGE,5.3K views,2 months ago
How I Built an AirBnb Clone from Scratch | MERN Stack Project | GeeksforGeeks,https://www.youtube.com/watch?v=koTBLYNq63I,3.6K views,2 months ago
"Master Web3 in 2024 (The Ultimate Roadmap) | Block Chain, Crypto Currency |",https://www.youtube.com/watch?v=CKrM5ouILBg,1.7K views,2 months ago
ðŸš€ Do This to Learn DSA and Get a Job | *Free Resources Inside* | The Ultimate DSA Roadmap ðŸ“š,https://www.youtube.com/watch?v=VdLUuIeuXqM,4.1K views,2 months ago
"Sorting Algorithms Full Course | Bubble, Selection, Insertion Sort & More | DSA Free Videos Complete",https://www.youtube.com/watch?v=IsBMyMch0gw,9.2K views,2 months ago
"IIT Grads reveal TOP PLACEMENT SECRETS ðŸ¤¯ | Advice, Get Job in 2024, Salary, Roadmap, Life at IIT",https://www.youtube.com/watch?v=HqqF_4yORKU,10K views,2 months ago
